,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience
47,产品经理,上海·徐汇·虹梅路,条码打印机产品经理,上海锦逊电子有限公司,20-99人,合资,1万-2万,大专, ,1-3年
48,产品经理,上海·静安·江宁路,【校招】产品经理岗,中国邮电器材集团有限公司,1000-9999人,国企,1万-1.5万,本科, ,经验不限
49,产品经理,上海·黄浦·老西门, ,中诚信国际信用评级有限责任公司,500-999人,合资,8千-1万,本科, ,1年以下
50,产品经理,上海·青浦·华新,资深数据产品经理, ,10000人以上,民营,3万-4.5万,本科, ,5-10年
51,产品经理,上海, , ,1000-9999人,上市公司,面议,本科, ,1-3年
52,产品经理,上海·徐汇·虹梅路,产品经理,柏飞电子,100-299人,国企,8千-1.5万·14薪,本科, ,3-5年
53,产品经理,上海·闵行·马桥,Product Lifecycle Manager - AIS/GIS,西门子能源有限公司,1000-9999人,外商独资,2万-3万,本科, ,3-5年
54,产品经理,上海·闵行·颛桥,互联网产品经理,上海熠朗信息科技有限公司,20-99人,民营,8千-1万,本科, ,1-3年
55,产品经理,上海·静安·南京西路, , ,1000-9999人,合资,1.6万-1.8万·14薪,大专, ,1-3年
56,产品经理,上海·静安·江宁路,旅行社部门经理-邮轮部,中国旅行社总社(上海)有限公司,100-299人,国企,8千-9千,本科, ,5-10年
57,产品经理,上海·浦东·张江,高级产品经理（神经免疫领域罕见病）, ,10000人以上,上市公司,2.3万-4.5万,本科, ,3-5年
58,产品经理,上海·长宁·新泾, ,上海飞鸟国际旅行社有限公司,20-99人,民营,1万-1.5万,大专, ,1-3年
59,产品经理,上海·静安·江宁路,旅行社部门经理-澳新部,中国旅行社总社(上海)有限公司,100-299人,国企,8千-9千,本科, ,5-10年
60,产品经理,上海·浦东·金桥,初级产品经理,南京争锋信息科技有限公司,20-99人,合资,1万-1.5万,本科, ,1-3年
61,产品经理,上海·闵行·浦江,Strategic Channel Manager 渠道战略经理（汽车后市场）,伍尔特(中国)有限公司,300-499人,外商独资,1千-2千·14薪,本科, ,经验不限
62,产品经理,上海·松江·车墩, ,武汉景行英才人力资源服务有限公司,100-299人,民营,8千-1万·13薪,大专, ,经验不限
63,产品经理,上海·静安·南京西路, , ,1000-9999人,合资,2万-2.1万·13薪,大专, ,1-3年
64,产品经理,上海·徐汇·长桥,产品经理PM （芯片方向）,上海为鼎电子科技有限公司,20-99人,民营,2万-3万,本科, ,经验不限
65,产品经理,上海·浦东·花木,产品经理（保温砂浆）, ,10000人以上,外商独资,1.3万-2万,本科, ,3-5年
66,产品经理,上海·静安·大宁路,金融产品销售经理, ,10000人以上,上市公司,1万-2万,学历不限, ,3-5年
67,产品经理,上海·松江·新桥, , ,20人以下,民营,7千-9千·14薪,本科, ,经验不限
68,产品经理,上海·静安·大宁路,产品经理（周末双休+薪资面议薪资面议）,上海信息人才服务有限公司,100-299人,国企,1.3万-1.7万,本科, ,3-5年
69,产品经理,上海·松江·九里亭, , ,1000-9999人,股份制企业,1.5万-2.2万·14薪,本科, ,3-5年
70,产品经理,上海·静安·彭浦, , ,1000-9999人,上市公司,1.2万-2.4万·15薪,本科,汽车,1-3年
71,产品经理,上海·闵行·新虹,产品经理（EAM/MES）,上海西信软件工程有限公司,100-299人,民营,1.8万-2.3万,大专, ,5-10年
72,产品经理,上海·静安·静安寺, , ,100-299人,民营,2.5万-3.5万,学历不限, ,经验不限
73,产品经理,上海·杨浦·长海路, ,上海达琪智能科技有限公司,20-99人,股份制企业,6千-1.2万,本科, ,经验不限
74,产品经理,上海·静安·南京西路, ,上海赞魅国际物流有限公司,20-99人,民营,2万-3.5万,本科, ,5-10年
75,产品经理,上海·黄浦·南京东路,卡牌产品经理,邵东卡漫谷文化社,100-299人,民营,1.8万-2.4万,大专, ,3-5年
76,产品经理,上海·长宁·新泾,产品经理（OEM）, ,1000-9999人,外商独资,2万-3万,本科, ,3-5年
77,产品经理,上海·青浦·香花桥,MR产品经理, ,100-299人,上市公司,1万-1.6万,本科, ,1-3年
78,产品经理,上海·闵行·新虹,产品经理（眼科器械）,晶天医疗科技有限公司,100-299人,民营,1万-1.5万,本科, ,经验不限
79,产品经理,上海·杨浦·大桥, , ,1000-9999人,上市公司,面议,本科, ,1-3年
80,产品经理,上海·徐汇·虹梅路,产品经理,上海锦逊电子有限公司,20-99人,合资,8千-1.5万,大专, ,1-3年
81,产品经理,上海·杨浦·五角场,神经介入产品经理,南京友德邦医疗科技有限公司,100-299人,民营,1万-2万,本科, ,经验不限
82,产品经理,上海·静安·静安寺, , ,100-299人,民营,3.5万-4.5万,学历不限, ,经验不限
83,产品经理,上海·静安·天目西路,产品经理（安世产品线）,福建康博电子技术股份有限公司,500-999人,民营,1.5万-3万·13薪,大专, ,3-5年
84,产品经理,上海·黄浦·五里桥,aigc产品经理,上海微创软件股份有限公司,10000人以上,合资,1.8万-2万,本科, ,3-5年
85,产品经理,上海,咖啡机产品总监（上海）, ,10000人以上,股份制企业,面议,本科, ,5-10年
86,产品经理,上海·松江·小昆山, ,众联智行(天津)人力资源服务有限公司,20-99人,民营,1.5万-2.4万,本科, ,5-10年
87,产品经理,上海·松江·小昆山, ,深圳极联信息技术股份有限公司,500-999人,民营,1.3万-1.4万,大专, ,3-5年
88,产品经理,上海·静安·石门二路, ,上海博瑞司企业管理咨询有限公司,500-999人,民营,3万-3.5万,本科, ,1-3年
89,产品经理,上海·静安·天目西路, , ,100-299人,民营,3万-5万,学历不限, ,经验不限
90,产品经理,上海·闵行·莘庄, ,易博士,20-99人,其它,1万-2万,本科, ,5-10年
91,产品经理,上海·黄浦·南京东路, ,上海古怡人力资源管理有限公司,20-99人,民营,3万-5万,本科, ,5-10年
92,产品经理,上海·虹口·北外滩,产品经理, ,1000-9999人,上市公司,1.2万-2万,本科, ,3-5年
93,产品经理,上海,酒店SaaS-产品经理（业务系统方向）, ,1000-9999人,上市公司,面议,本科, ,1-3年
94,产品经理,上海·普陀·长风新村,平安优才销售招聘, ,10000人以上,国企,8千-1.6万,大专, ,经验不限
95,产品经理,上海·普陀·曹杨新村,产品经理(软件),中邮科技,1000-9999人,国企,1.3万-2.5万,本科, ,3-5年
96,产品经理,上海·闵行·梅陇,产品经理,上海台雄科技发展集团有限公司,100-299人,民营,8千-1.3万·13薪,本科, ,1-3年
97,产品经理,上海·静安·静安寺,产品经理(J10302), ,1000-9999人,民营,1.5万-2.5万,本科, ,3-5年
98,产品经理,上海·静安·石门二路,产品经理, ,10000人以上,上市公司,1.5万-2.5万,本科, ,3-5年
