Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
236,java,上海·浦东·张江,初中级JAVA开发,北京众策科技咨询有限公司,20-99人,民营,1.1万-1.5万,本科,SAP 英语 ABAP,3-5年,132000.0,180000.0
237,java,上海·长宁·天山路,对日JAVA(上海）,上海朗裕信息科技有限公司,20-99人,民营,1万-1.5万,大专,对日JAVA,3-5年,120000.0,180000.0
238,java,上海·浦东·金桥,JAVA开发(中高级+甲方自研),上海复维企业发展集团有限公司,500-999人,民营,1.5万-2万·15薪,本科,SAAS经验 MySQL Oracle Spring Mybatis Redis Vue,3-5年,225000.0,300000.0
239,java,上海·浦东·周家渡,Java开发工程师,其他,1000-9999人,外商独资,1万-1.4万·13薪,本科,JavaScript Spring MySQL Oracle,1-3年,130000.0,182000.0
240,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Spring,经验不限,210000.0,420000.0
241,java,上海·徐汇·斜土路,JAVA工程师（13薪+周末双休）,深圳市紫川软件有限公司,500-999人,民营,1.4万-2.1万·13薪,本科,无要求,3-5年,182000.0,273000.0
242,java,上海·虹口·北外滩,Java开发工程师,其他,1000-9999人,股份制企业,8千-1.4万·13薪,本科,无要求,1-3年,104000.0,182000.0
243,java,上海·嘉定·徐行,java全栈工程师,其他,10000人以上,其它,1.4万-1.5万,本科,无要求,3-5年,168000.0,180000.0
244,java,上海·浦东·张江,初级java开发工程师,北京众策科技咨询有限公司,20-99人,民营,1.3万-1.7万,本科,无要求,3-5年,156000.0,204000.0
245,java,上海·浦东·泥城,java测试工程师,上海微创软件股份有限公司,10000人以上,合资,1.3万-1.4万,本科,无要求,经验不限,156000.0,168000.0
246,java,上海·普陀·石泉路,java,其他,1000-9999人,股份制企业,1万-2万·13薪,本科,无要求,3-5年,130000.0,260000.0
247,java,上海·浦东·塘桥,java,大连铭信科技发展有限公司,20-99人,民营,1.5万-1.9万,大专,无要求,5-10年,180000.0,228000.0
248,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.1万-2.2万·14薪,本科,Java Python c C++,经验不限,154000.0,308000.0
