Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
268,python,上海·宝山·杨行,初级算法工程师,沈阳东硕信息技术有限公司,民营,本科,C++ OpenCV HALCON Python Qt,1-3年,130000.0,260000.0,20.0,99.0
269,python,上海·闵行·浦江,生信工程师,其他,合资,硕士,基因组学 转录组学 Python 免疫组学 代谢组学 C# C++ Java R语言 Perl,3-5年,120000.0,240000.0,20.0,99.0
270,python,上海·徐汇·虹梅路,算法工程师,其他,合资,本科,Python 暖通背景,1-3年,144000.0,240000.0,20.0,99.0
271,python,上海·浦东·张江,软件工程师（ADAS规控算法开发）,其他,其它,本科,Python C/C++ 自动驾驶 路径规划,经验不限,168000.0,336000.0,20.0,99.0
272,python,上海·浦东·金桥,python,其他,民营,本科,Python,1-3年,132000.0,180000.0,10000.0,
273,python,上海·浦东·南汇新城,软件算法工程师,上海凯来仪器有限公司,民营,本科,算法研究 Python C++,3-5年,210000.0,350000.0,20.0,99.0
274,python,上海·浦东·张江,python,上海华驿汽车技术有限公司,民营,本科,Python Shell C/C++ Torch TensorRT,3-5年,168000.0,192000.0,100.0,299.0
275,python,上海·闵行·浦江,应用工程师(J10405),上海恒为云驰信息技术有限公司武汉分公司,民营,硕士,大模型算法 图像算法 通信算法 C++ Python,经验不限,156000.0,180000.0,100.0,299.0
276,python,上海·黄浦·小东门,python,外企德科数字技术有限公司,,本科,C语言 Java Python 数据结构,1-3年,240000.0,360000.0,10000.0,
277,python,上海·嘉定·安亭,python,上海华驿汽车技术有限公司,民营,本科,Python C++ 数据开发 ROS系统,3-5年,240000.0,360000.0,100.0,299.0
278,python,上海·松江·新桥,高级生物信息分析师,上海云序生物科技有限公司,民营,硕士,临床数据分析员 PHP 生物医药学术 数据库开发 R语言 Python Perl JavaScript,经验不限,168000.0,280000.0,20.0,99.0
279,python,上海·浦东·陆家嘴,python爬虫工程师,世唐云科(北京)科技有限公司,,学历不限,无要求,经验不限,216000.0,228000.0,,20.0
