Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
103,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,JavaScript Spring Hibernate C++ C MySQL PostgreSQL,3-5年,210000.0,420000.0
104,c++,上海·浦东·金桥,高级c++开发工程师,其他,10000人以上,民营,1.4万-2万,本科,无要求,经验不限,168000.0,240000.0
105,c++,上海·青浦·金泽,软件开发和测试 接受应届/导师带教,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,C语言 Java Python 嵌入式开发 Web开发 PyTorch,经验不限,210000.0,420000.0
106,c++,上海·静安·天目西路,中间件软件开发工程师,上海陟明信息技术有限责任公司,100-299人,民营,1.5万-1.6万,学历不限,C语言 C#,经验不限,180000.0,192000.0
107,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·16薪,本科,无要求,经验不限,240000.0,480000.0
108,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,C语言,经验不限,210000.0,420000.0
109,c++,上海·普陀·桃浦,软件工程开发师,上海惟斯迪信息科技有限公司,20人以下,民营,1.5万-2万·13薪,大专,C语言 Java MySQL QT开发 MONGODB REDIS TCP/IP及SOCKET,3-5年,195000.0,260000.0
110,c++,上海·浦东·康桥,C++开发工程师,上海震垒科技有限公司,20-99人,民营,1.5万-2.4万·14薪,本科,无要求,1-3年,210000.0,336000.0
111,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2.8万,本科,Python Java C++,1-3年,168000.0,336000.0
112,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
113,c++,上海·浦东·康桥,C++工程师,上海震垒科技有限公司,20-99人,民营,1.5万-3万·14薪,本科,后端开发 QT 客户端开发,经验不限,210000.0,420000.0
114,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,JavaScript Python C++,经验不限,180000.0,360000.0
115,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.3万-2.6万·14薪,本科,无要求,经验不限,182000.0,364000.0
116,c++,上海·浦东·洋泾,软件工程师（C方向，英语流利）,大连思泰克科技有限公司,100-299人,外商独资,2.1万-3.5万·13薪,大专,Objective-C C++ 英语流利,1-3年,273000.0,455000.0
117,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,Python C++,经验不限,180000.0,360000.0
118,c++,上海·浦东·金桥,C++,其他,10000人以上,民营,1万-1.7万,本科,C语言 C++,1-3年,120000.0,204000.0
119,c++,上海·浦东·花木,c++,其他,1000-9999人,股份制企业,2万-3万,本科,无要求,3-5年,240000.0,360000.0
120,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,C# Java Python 嵌入式开发 Web开发 Linux开发,经验不限,210000.0,420000.0
121,c++,上海·浦东·金桥,急招c++开发+周末加班双倍,其他,10000人以上,民营,1.1万-2万,本科,无要求,1-3年,132000.0,240000.0
122,c++,上海·浦东·金桥,c++,呈途(浙江)信息技术有限公司江西分公司,500-999人,股份制企业,1.3万-2.6万,本科,无要求,1-3年,156000.0,312000.0
123,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,2万-3.5万,本科,C++ C Python,3-5年,240000.0,420000.0
124,c++,上海·浦东·金桥,c++开发,其他,10000人以上,民营,1万-1.5万,本科,无要求,1-3年,120000.0,180000.0
125,c++,上海·张江,C/C++软件开发,上海微电子装备(集团)股份有限公司,1000-9999人,股份制企业,2万-3万·15薪,本科,C C++ Windows Linux Vxworks,经验不限,300000.0,450000.0
126,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.8万-3.5万·14薪,学历不限,Java Python STL MySQL 分布式经验 LINUX开发/部署经验,经验不限,252000.0,490000.0
